Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Zimbabwe,38.4,ZWE
Kyrgyzstan,38.27877516,KGZ
Nigeria,38.25971003,NGA
Brazil,37.90152124,BRA
Bangladesh,37.8441822,BGD
Bangladesh,37.8441822,BGD
Indonesia,37.75247122,IDN
Mozambique,37.68838105,MOZ
Mozambique,37.68089354,MOZ
Mozambique,37.68089354,MOZ
Mozambique,37.68089354,MOZ
Ethiopia,37.65149385,ETH
Malawi,37.61522755,MWI
Senegal,37.43182885,SEN
Turkey,37.37825994,TUR
Venezuela,37.30850901,VEN
Nigeria,37.27807953,NGA
Czech Republic,37.21876079,CZE
Belarus,37.08034622,BLR
Netherlands,37.04615308,NLD
South Africa,37.0161437,ZAF
South Africa,37.0161437,ZAF
Peru,36.89654984,PER
Peru,36.86238636,PER
Switzerland,36.83032367,CHE
"Hong Kong, China",36.66121988,HKG
Bangladesh,36.58270946,BGD
Uzbekistan,36.46846914,UZB
Uzbekistan,36.46846914,UZB
Portugal,36.42717913,PRT
Uganda,36.4063233,UGA
Uganda,36.4063233,UGA
Ecuador,36.38355901,ECU
Ecuador,36.36536723,ECU
Nicaragua,36.14602058,NIC
Paraguay,35.92275407,PRY
Brazil,35.88695792,BRA
Bolivia,35.84503049,BOL
Bolivia,35.84503049,BOL
Rwanda,35.80409798,RWA
Azerbaijan,35.70653151,AZE
Mexico,35.60894969,MEX
Mexico,35.60894969,MEX
Ghana,35.54871111,GHA
Peru,35.3978944,PER
Peru,35.3978944,PER
Netherlands,35.28640207,NLD
Togo,35.27629734,TGO
Australia,35.14055439,AUS
Mexico,35.13886455,MEX
Netherlands,35.11669314,NLD
Mexico,35.08423551,MEX
Afghanistan,34.94494578,AFG
Egypt,34.9069111,EGY
Syria,34.8129731,SYR
Thailand,34.74611427,THA
Egypt,34.71564036,EGY
Ecuador,34.56438106,ECU
Ecuador,34.56438106,ECU
Portugal,34.54972001,PRT
Mali,34.51083794,MLI
China,34.47469994,CHN
Nigeria,34.43819615,NGA
El Salvador,34.34705781,SLV
Indonesia,34.32042838,IDN
Zimbabwe,34.13333333,ZWE
Iraq,34.12663741,IRQ
Zambia,34.06850413,ZMB
Uzbekistan,34.03723786,UZB
Uganda,33.97592842,UGA
South Africa,33.69143163,ZAF
