Country,"Cost per GB, excl conn (US$ PPP)",Country Code
El Salvador,18.52,SLV
El Salvador,12.47,SLV
El Salvador,10.74,SLV
El Salvador,9.21,SLV
El Salvador,9.22,SLV
El Salvador,13.83,SLV
El Salvador,9.22,SLV
El Salvador,7.68,SLV
El Salvador,5.53,SLV
El Salvador,3.02,SLV
El Salvador,3.78,SLV
El Salvador,3.08,SLV
El Salvador,2.31,SLV
El Salvador,2.76,SLV
El Salvador,6.14,SLV
El Salvador,18.43,SLV
El Salvador,18.44,SLV
El Salvador,7.17,SLV
Ethiopia,63.94,ETH
Ethiopia,50.13,ETH
Ethiopia,33.81,ETH
Finland,#VALUE!,FIN
Finland,5.28,FIN
Finland,32.19,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
Finland,0.53,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
Finland,#VALUE!,FIN
France,4.6,FRA
France,#VALUE!,FRA
France,#VALUE!,FRA
France,#VALUE!,FRA
France,#VALUE!,FRA
France,35.49,FRA
France,29.57,FRA
France,29.57,FRA
France,19.25,FRA
France,65.72,FRA
France,65.72,FRA
France,59.14,FRA
France,59.74,FRA
France,58.72,FRA
France,55.01,FRA
France,55.01,FRA
France,51.34,FRA
France,5.77,FRA
France,4.81,FRA
France,59.14,FRA
Germany,127.47,DEU
Germany,25.49,DEU
Germany,18.67,DEU
Germany,4.98,DEU
Germany,11.19,DEU
Germany,5.6,DEU
Germany,5.23,DEU
Germany,5.04,DEU
Germany,4.36,DEU
Germany,18.67,DEU
Germany,6.22,DEU
Germany,5.81,DEU
Germany,22.35,DEU
Germany,39.77,DEU
Germany,15.54,DEU
Germany,5.84,DEU
Germany,2.61,DEU
Germany,7.52,DEU
Germany,25.37,DEU
Germany,38.11,DEU
Germany,18.66,DEU
Germany,10.37,DEU
Germany,7.26,DEU
Germany,5.6,DEU
Germany,0.61,DEU
Germany,4.92,DEU
Germany,16.12,DEU
Germany,16.58,DEU
Ghana,20.18,GHA
Ghana,16.14,GHA
Ghana,11.82,GHA
Ghana,9.46,GHA
Ghana,7.88,GHA
Ghana,26.91,GHA
Ghana,24.21,GHA
Ghana,24.21,GHA
Ghana,20.18,GHA
Ghana,16.14,GHA
Ghana,11.82,GHA
Ghana,9.46,GHA
Ghana,9.85,GHA
Ghana,9.85,GHA
Ghana,26.91,GHA
Ghana,15.76,GHA
Ghana,12.61,GHA
Ghana,11.82,GHA
Ghana,10.51,GHA
Ghana,9.46,GHA
Ghana,32.29,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,15.76,GHA
Ghana,12.61,GHA
Ghana,11.82,GHA
Ghana,10.51,GHA
Ghana,9.46,GHA
Ghana,12.11,GHA
Ghana,21.52,GHA
Ghana,19.37,GHA
Ghana,9.46,GHA
Ghana,26.91,GHA
Ghana,20.18,GHA
Ghana,20.18,GHA
Ghana,24.21,GHA
Ghana,16.14,GHA
Ghana,10.13,GHA
Ghana,10.51,GHA
Greece,71.74,GRC
Greece,28.7,GRC
Greece,21.02,GRC
Greece,14.01,GRC
Greece,11.68,GRC
Greece,8.41,GRC
Greece,5.6,GRC
Greece,3.5,GRC
Greece,7.01,GRC
Greece,10.51,GRC
Greece,11.21,GRC
Greece,28.7,GRC
Greece,14.01,GRC
Greece,14.01,GRC
Greece,14.01,GRC
Greece,5.6,GRC
Greece,2.45,GRC
Greece,4.2,GRC
Greece,13.87,GRC
Greece,13.94,GRC
Greece,8.38,GRC
Greece,5.59,GRC
Greece,1.16,GRC
Greece,7.01,GRC
Greece,7.01,GRC
Greece,14.01,GRC
Guatemala,61.18,GTM
Guatemala,48.13,GTM
Guatemala,21.91,GTM
Guatemala,12.61,GTM
Guatemala,2.04,GTM
Guatemala,2.99,GTM
Guatemala,4.98,GTM
Guatemala,5.97,GTM
Guatemala,7.44,GTM
Guatemala,13.21,GTM
Guatemala,9.92,GTM
Guatemala,28.88,GTM
Guatemala,13.21,GTM
Guatemala,5.95,GTM
Guatemala,3.32,GTM
Guatemala,4.98,GTM
